Country,1990,1990_lower, 1990_upper, 1990_Footnote,1991,1991_lower, 1991_upper, 1991_Footnote,1992,1992_lower, 1992_upper, 1992_Footnote,1993,1993_lower, 1993_upper, 1993_Footnote,1994,1994_lower, 1994_upper, 1994_Footnote,1995,1995_lower, 1995_upper, 1995_Footnote,1996,1996_lower, 1996_upper, 1996_Footnote,1997,1997_lower, 1997_upper, 1997_Footnote,1998,1998_lower, 1998_upper, 1998_Footnote,1999,1999_lower, 1999_upper, 1999_Footnote,2000,2000_lower, 2000_upper, 2000_Footnote,2001,2001_lower, 2001_upper, 2001_Footnote,2002,2002_lower, 2002_upper, 2002_Footnote,2003,2003_lower, 2003_upper, 2003_Footnote,2004,2004_lower, 2004_upper, 2004_Footnote,2005,2005_lower, 2005_upper, 2005_Footnote,2006,2006_lower, 2006_upper, 2006_Footnote,2007,2007_lower, 2007_upper, 2007_Footnote,2008,2008_lower, 2008_upper, 2008_Footnote,2009,2009_lower, 2009_upper, 2009_Footnote,2010,2010_lower, 2010_upper, 2010_Footnote,2011,2011_lower, 2011_upper, 2011_Footnote,2012,2012_lower, 2012_upper, 2012_Footnote,2013,2013_lower, 2013_upper, 2013_Footnote,2014,2014_lower, 2014_upper, 2014_Footnote,2015,2015_lower, 2015_upper, 2015_Footnote,2016,2016_lower, 2016_upper, 2016_Footnote,2017,2017_lower, 2017_upper, 2017_Footnote,2018,2018_lower, 2018_upper, 2018_Footnote,2019,2019_lower, 2019_upper, 2019_Footnote
Afghanistan,0.01,<0.01 ,0.02,,0.01,<0.01 ,0.02,,0.01,<0.01 ,0.03,,0.01,<0.01 ,0.03,,0.02,<0.01 ,0.03,,0.02,<0.01 ,0.04,,0.02,0.01,0.05,,0.02,0.01,0.05,,0.02,0.01,0.06,,0.03,0.01,0.06,,0.03,0.01,0.07,,0.03,0.02,0.08,,0.03,0.02,0.08,,0.03,0.02,0.09,,0.04,0.02,0.09,,0.04,0.02,0.09,,0.04,0.02,0.1,,0.04,0.02,0.11,,0.04,0.02,0.11,,0.05,0.02,0.12,,0.05,0.02,0.13,,0.05,0.02,0.15,,0.06,0.02,0.16,,0.06,0.02,0.17,,0.06,0.02,0.19,,0.06,0.02,0.22,,0.07,0.02,0.23,,0.07,0.02,0.25,,0.07,0.02,0.26,,0.08,0.02,0.29,
Albania,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 ,0.01,,0.01,<0.01 ,0.02,,0.02,<0.01 ,0.03,,0.02,0.01,0.04,,0.03,0.02,0.05,,0.04,0.03,0.06,,0.05,0.03,0.07,,0.06,0.03,0.08,,0.06,0.04,0.09,,0.06,0.04,0.1,,0.06,0.04,0.1,,0.07,0.04,0.1,,0.07,0.04,0.11,,0.07,0.04,0.11,,0.07,0.03,0.11,,0.06,0.03,0.12,,0.06,0.02,0.13,,0.06,0.02,0.13,,0.06,0.01,0.14,,0.06,<0.01 ,0.16,,0.05,<0.01 ,0.18,
Algeria,0.02,<0.01 ,0.03,,0.02,<0.01 ,0.03,,0.01,<0.01 ,0.02,,<0.01 ,<0.01 ,0.01,,0.01,<0.01 ,0.01,,0.01,<0.01 ,0.02,,0.01,<0.01 ,0.02,,0.01,<0.01 ,0.02,,0.02,0.01,0.02,,0.02,0.01,0.02,,0.02,0.01,0.03,,0.02,0.01,0.03,,0.02,0.02,0.03,,0.03,0.02,0.04,,0.03,0.02,0.04,,0.03,0.02,0.04,,0.03,0.02,0.05,,0.04,0.02,0.05,,0.04,0.03,0.06,,0.05,0.03,0.07,,0.05,0.03,0.07,,0.06,0.03,0.08,,0.06,0.03,0.09,,0.07,0.03,0.1,,0.07,0.03,0.11,,0.07,0.03,0.12,,0.08,0.03,0.13,,0.08,0.02,0.13,,0.08,0.02,0.14,,0.09,0.02,0.16,
Angola,0.47,0.3,0.76,,0.55,0.37,0.85,,0.64,0.44,0.93,,0.76,0.54,1.06,,0.87,0.65,1.18,,0.97,0.75,1.27,,1.1,0.86,1.4,,1.22,0.98,1.53,,1.34,1.09,1.63,,1.47,1.21,1.79,,1.58,1.28,1.91,,1.7,1.39,2.06,,1.8,1.48,2.2,,1.89,1.54,2.31,,1.93,1.56,2.38,,1.93,1.56,2.38,,1.97,1.6,2.39,,1.98,1.63,2.36,,1.93,1.58,2.28,,1.92,1.56,2.26,,1.88,1.56,2.22,,1.83,1.52,2.19,,1.79,1.45,2.16,,1.74,1.35,2.14,,1.65,1.27,2.07,,1.58,1.2,2.03,,1.54,1.16,2.02,,1.53,1.15,2.03,,1.49,1.09,1.98,,1.45,1.02,1.94,
Argentina,0.26,0.22,0.31,Children estimates were not available at the time of publication.,0.28,0.24,0.35,Children estimates were not available at the time of publication.,0.34,0.29,0.42,Children estimates were not available at the time of publication.,0.36,0.31,0.45,Children estimates were not available at the time of publication.,0.35,0.3,0.42,Children estimates were not available at the time of publication.,0.34,0.3,0.42,Children estimates were not available at the time of publication.,0.35,0.3,0.41,Children estimates were not available at the time of publication.,0.34,0.29,0.41,Children estimates were not available at the time of publication.,0.34,0.3,0.4,Children estimates were not available at the time of publication.,0.3,0.25,0.35,Children estimates were not available at the time of publication.,0.31,0.28,0.37,Children estimates were not available at the time of publication.,0.29,0.26,0.34,Children estimates were not available at the time of publication.,0.26,0.23,0.31,Children estimates were not available at the time of publication.,0.27,0.24,0.33,Children estimates were not available at the time of publication.,0.29,0.26,0.33,Children estimates were not available at the time of publication.,0.29,0.25,0.35,Children estimates were not available at the time of publication.,0.28,0.25,0.34,Children estimates were not available at the time of publication.,0.28,0.25,0.33,Children estimates were not available at the time of publication.,0.27,0.24,0.35,Children estimates were not available at the time of publication.,0.28,0.24,0.34,Children estimates were not available at the time of publication.,0.26,0.22,0.34,Children estimates were not available at the time of publication.,0.27,0.22,0.34,Children estimates were not available at the time of publication.,0.27,0.22,0.36,Children estimates were not available at the time of publication.,0.26,0.21,0.35,Children estimates were not available at the time of publication.,0.26,0.21,0.33,Children estimates were not available at the time of publication.,0.26,0.2,0.34,Children estimates were not available at the time of publication.,0.25,0.2,0.33,Children estimates were not available at the time of publication.,0.25,0.19,0.35,Children estimates were not available at the time of publication.,0.24,0.18,0.32,Children estimates were not available at the time of publication.,0.24,0.18,0.34,Children estimates were not available at the time of publication.
Armenia,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 ,0.02,,0.01,<0.01 ,0.03,,0.02,<0.01 ,0.05,,0.03,0.01,0.08,,0.05,0.02,0.12,,0.07,0.03,0.16,,0.11,0.05,0.2,,0.15,0.08,0.24,,0.19,0.12,0.3,,0.22,0.15,0.31,,0.25,0.19,0.33,,0.26,0.21,0.33,,0.26,0.21,0.33,,0.26,0.21,0.32,,0.24,0.19,0.28,,0.21,0.17,0.25,,0.18,0.15,0.21,,0.16,0.13,0.18,,0.13,0.11,0.16,,0.12,0.1,0.14,,0.11,0.09,0.14,,0.11,0.08,0.14,,0.11,0.08,0.14,,0.11,0.08,0.15,,0.11,0.08,0.16,,0.1,0.07,0.16,,0.1,0.07,0.16,,0.1,0.06,0.16,
Australia,0.14,0.12,0.16,,0.12,0.11,0.14,,0.11,0.09,0.12,,0.1,0.08,0.11,,0.09,0.08,0.1,,0.08,0.07,0.09,,0.07,0.06,0.09,,0.07,0.06,0.08,,0.07,0.05,0.08,,0.06,0.05,0.08,,0.06,0.05,0.08,,0.06,0.05,0.08,,0.06,0.04,0.08,,0.06,0.05,0.09,,0.07,0.05,0.09,,0.07,0.05,0.09,,0.07,0.05,0.1,,0.08,0.06,0.1,,0.08,0.06,0.11,,0.08,0.06,0.11,,0.09,0.06,0.11,,0.09,0.06,0.12,,0.09,0.06,0.12,,0.08,0.06,0.12,,0.08,0.05,0.12,,0.08,0.05,0.11,,0.08,0.05,0.12,,0.07,0.04,0.12,,0.07,0.04,0.11,,0.06,0.04,0.11,
Austria,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.
Azerbaijan,<0.01 ,<0.01 ,0.03,,0.01,<0.01 ,0.04,,0.02,<0.01 ,0.06,,0.03,<0.01 ,0.09,,0.05,0.01,0.14,,0.09,0.02,0.25,,0.14,0.03,0.49,,0.2,0.05,0.68,,0.25,0.07,0.76,,0.27,0.09,0.66,,0.29,0.12,0.6,,0.27,0.13,0.52,,0.25,0.13,0.41,,0.21,0.11,0.34,,0.18,0.11,0.29,,0.17,0.11,0.28,,0.15,0.11,0.24,,0.14,0.1,0.2,,0.15,0.1,0.21,,0.14,0.1,0.19,,0.13,0.09,0.18,,0.12,0.08,0.17,,0.12,0.08,0.17,,0.11,0.07,0.16,,0.11,0.07,0.16,,0.11,0.07,0.16,,0.11,0.07,0.15,,0.1,0.06,0.15,,0.1,0.06,0.15,,0.09,0.05,0.15,
Bahamas,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.,... ,... , ...,Estimates were not available at the time of publication.
