Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Angola,AGO,0,0,0,0,0,0,3,4,6,8,10,11,13,19,23,25,23,25,27,27,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,"Congo, Rep.",COG,0,0,0,1,1,4,4,6,12,15,18,20,20,22,21,27,29,30,31,25,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,"Congo, Dem. Rep.",COD,0,0,0,0,1,2,3,4,5,7,8,10,13,15,20,24,31,42,49,53,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Cote d'Ivoire,CIV,0,0,1,1,1,3,5,7,11,15,16,20,23,26,30,35,42,52,58,63,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Benin,BEN,0,0,0,0,0,0,0,0,20,26,31,39,41,36,41,47,52,52,60,65,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Botswana,BWA,0,1,2,6,12,18,24,28,35,42,47,52,58,63,64,69,73,76,81,82,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Burkina Faso,BFA,0,0,0,1,3,7,11,13,18,23,28,32,34,38,42,43,48,55,58,67,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Burundi,BDI,0,0,1,1,4,6,8,11,15,18,24,28,32,36,41,48,59,69,76,84,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Cabo Verde,CPV,0,0,0,0,3,5,6,9,12,15,17,20,23,25,28,32,40,50,55,62,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Cameroon,CMR,0,0,0,0,3,5,6,9,12,15,17,20,23,25,28,32,40,50,55,62,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Central African Republic,CAF,0,0,0,0,0,1,2,5,9,10,12,12,14,14,22,26,30,35,38,46,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Chad,TCD,0,0,0,2,0,2,6,8,18,25,31,31,33,35,42,50,38,44,52,58,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Comoros,COM,0,1,2,6,12,18,24,28,35,42,47,52,58,63,64,69,73,76,81,82,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Equatorial Guinea,GNQ,0,0,0,0,1,2,3,6,8,11,7,10,15,25,24,21,27,36,35,35,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Eritrea,ERI,0,0,0,0,0,2,6,11,16,21,27,33,39,44,50,55,58,60,62,62,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Eswatini,SWZ,0,1,2,2,4,7,11,15,20,25,34,38,43,48,58,68,77,86,88,96,..
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Ethiopia,ETH,0,0,0,0,1,3,7,14,20,27,33,40,43,47,54,57,63,65,67,74,..
