 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,..,..,..,..,52,..,..,..,..,..,..,..,42.7,..,..,..,..,..,..,..,..,..,51.3,..,..
Benin,..,..,..,..,..,..,..,38.6,..,..,..,..,..,..,..,43.4,..,..,..,47.8,..,..,..,..,..
Botswana,..,..,..,..,..,..,64.7,..,..,..,..,..,..,60.5,..,..,..,..,..,53.3,..,..,..,..,..
Burkina Faso,..,..,49.9,..,..,..,..,43.3,..,..,..,..,..,39.8,..,..,..,..,35.3,..,..,..,..,..,..
Burundi,..,..,42.3,..,..,..,..,..,..,..,33.4,..,..,..,..,..,..,38.6,..,..,..,..,..,..,..
Cabo Verde,..,..,..,..,..,52.5,..,..,..,..,..,47.2,..,..,..,..,..,..,..,42.4,..,..,..,..,..
Cameroon,44.4,..,..,..,..,42.1,..,..,..,..,..,42.8,..,..,..,..,..,..,46.6,..,..,..,..,..,..
Central African Republic,..,..,..,..,..,..,..,43.6,..,..,..,..,56.2,..,..,..,..,..,..,..,..,..,..,..,..
Chad,..,..,..,..,..,..,..,39.8,..,..,..,..,..,..,..,43.3,..,..,..,..,..,..,..,..,..
Comoros,..,..,..,..,..,..,..,..,55.9,..,..,..,..,..,..,..,..,..,45.3,..,..,..,..,..,..
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,42.2,..,..,..,..,..,..,..,42.1,..,..,..,..,..,..,..,..
"Congo, Rep.",..,..,..,..,..,..,..,..,..,47.3,..,..,..,..,..,48.9,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,..,..,39,..,..,..,41.3,..,..,..,..,..,43.2,..,..,..,..,..,..,41.5,..,..,..,..,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eswatini,..,..,..,..,53.1,..,..,..,..,..,..,..,..,51.5,..,..,..,..,..,..,54.6,..,..,..,..
Ethiopia,..,..,..,30,..,..,..,..,29.8,..,..,..,..,..,33.2,..,..,..,..,35,..,..,..,..,..
Gabon,..,..,..,..,..,..,..,..,..,42.2,..,..,..,..,..,..,..,..,..,..,..,38,..,..,..
"Gambia, The",..,..,48.5,..,..,..,..,47.3,..,..,..,..,..,..,43.6,..,..,..,..,35.9,..,..,..,..,..
Ghana,..,..,40.1,..,..,..,..,..,..,42.8,..,..,..,..,..,..,42.4,..,..,..,43.5,..,..,..,..
Guinea,..,..,..,..,..,..,43,..,..,..,..,39.4,..,..,..,..,33.7,..,..,..,..,..,..,..,..
Guinea-Bissau,..,..,..,..,..,..,35.6,..,..,..,..,..,..,..,50.7,..,..,..,..,..,..,..,..,..,..
Kenya,..,45,..,..,..,..,..,..,..,46.5,..,..,..,..,..,..,..,..,..,40.8,..,..,..,..,..
Lesotho,..,..,..,..,..,..,51.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.9,..,..,..
Liberia,..,..,..,..,..,..,..,..,..,..,..,36.5,..,..,..,..,..,..,33.2,..,35.3,..,..,..,..
Madagascar,..,39.5,..,38.6,..,47.4,..,..,..,39.9,..,..,..,..,42.4,..,42.6,..,..,..,..,..,..,..,..
Malawi,..,65.8,..,..,..,..,..,..,39.9,..,..,..,..,..,45.5,..,..,..,..,..,44.7,..,..,..,..
Mali,..,..,..,..,..,39.9,..,..,..,..,38.9,..,..,33,..,..,..,..,..,..,..,..,..,..,..
Mauritania,..,..,..,..,39,..,..,..,40.2,..,..,..,35.7,..,..,..,..,..,32.6,..,..,..,..,..,..
Mauritius,..,..,..,..,..,..,..,..,..,..,35.7,..,..,..,..,..,38.5,..,..,..,..,36.8,..,..,..
Mozambique,53.6,..,..,..,..,..,47,..,..,..,..,..,45.6,..,..,..,..,..,54,..,..,..,..,..,..
Namibia,..,..,..,..,..,..,..,63.3,..,..,..,..,..,61,..,..,..,..,..,59.1,..,..,..,..,..
Niger,..,..,..,..,..,..,..,..,..,44.4,..,37.3,..,..,..,31.5,..,..,34.3,..,..,..,..,..,..
Nigeria,51.9,..,..,..,..,..,..,40.1,..,..,..,..,..,43,..,..,..,..,..,..,..,..,35.1,..,..
Rwanda,..,..,..,..,48.5,..,..,..,..,52,..,..,..,..,47.2,..,..,45.1,..,..,43.7,..,..,..,..
Sao Tome and Principe,..,..,..,..,32.1,..,..,..,..,..,..,..,..,..,30.8,..,..,..,..,..,..,56.3,..,..,..
Senegal,..,..,..,..,..,41.2,..,..,..,39.2,..,..,..,..,..,40.3,..,..,..,..,..,..,..,..,..
Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.8,..,..,..,..,..,..,..
Sierra Leone,..,..,..,..,..,..,..,40.2,..,..,..,..,..,..,..,34,..,..,..,..,..,..,35.7,..,..
Somalia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,60.7,..,..,..,57.8,..,..,..,..,64.8,..,..,63,..,63.4,..,..,..,63,..,..,..,..,..,..
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,46.3,..,..,..,..,..,..,..,..,..,..,..
Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,35.4,..,..,..,..,34.2,..,..,..,..,..,..
Tanzania,..,..,..,..,37.3,..,..,..,..,..,..,40.3,..,..,..,37.8,..,..,..,..,..,40.5,..,..,..
Togo,..,..,..,..,..,..,..,..,..,..,42.2,..,..,..,..,46,..,..,..,43.1,..,..,..,..,..
Uganda,39,..,..,43,..,..,45.2,..,..,42.9,..,..,..,44.2,..,..,41,..,..,..,42.8,..,..,..,..
Zambia,48.3,..,49.1,..,..,..,42.1,..,54.3,..,54.6,..,..,..,55.6,..,..,..,..,57.1,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.2,..,..,..,..,..,44.3,..,..,..
